"intercept_mean","e2_slope_mean","p4_slope_mean","TPR"
-0.000000000000000111022302462516,0,-0.5,0.67
-0.000000000000000111022302462516,0,-0.4,0.5
-0.000000000000000111022302462516,0,-0.3,0.34
-0.000000000000000111022302462516,0,-0.2,0.22
-0.000000000000000111022302462516,0,-0.1,0.13
-0.000000000000000111022302462516,0,0,0.12
-0.000000000000000111022302462516,0,0.1,0.18
-0.000000000000000111022302462516,0,0.2,0.25
-0.000000000000000111022302462516,0,0.3,0.33
-0.000000000000000111022302462516,0,0.4,0.61
-0.000000000000000111022302462516,0,0.5,0.69
-0.000000000000000111022302462516,0.1,-0.5,0.7
-0.000000000000000111022302462516,0.1,-0.4,0.58
-0.000000000000000111022302462516,0.1,-0.3,0.34
-0.000000000000000111022302462516,0.1,-0.2,0.21
-0.000000000000000111022302462516,0.1,-0.1,0.15
-0.000000000000000111022302462516,0.1,0,0.13
-0.000000000000000111022302462516,0.1,0.1,0.15
-0.000000000000000111022302462516,0.1,0.2,0.28
-0.000000000000000111022302462516,0.1,0.3,0.31
-0.000000000000000111022302462516,0.1,0.4,0.49
-0.000000000000000111022302462516,0.1,0.5,0.75
-0.000000000000000111022302462516,0.2,-0.5,0.81
-0.000000000000000111022302462516,0.2,-0.4,0.63
-0.000000000000000111022302462516,0.2,-0.3,0.47
-0.000000000000000111022302462516,0.2,-0.2,0.33
-0.000000000000000111022302462516,0.2,-0.1,0.31
-0.000000000000000111022302462516,0.2,0,0.23
-0.000000000000000111022302462516,0.2,0.1,0.22
-0.000000000000000111022302462516,0.2,0.2,0.28
-0.000000000000000111022302462516,0.2,0.3,0.45
-0.000000000000000111022302462516,0.2,0.4,0.59
-0.000000000000000111022302462516,0.2,0.5,0.77
-0.000000000000000111022302462516,0.3,-0.5,0.83
-0.000000000000000111022302462516,0.3,-0.4,0.71
-0.000000000000000111022302462516,0.3,-0.3,0.52
-0.000000000000000111022302462516,0.3,-0.2,0.37
-0.000000000000000111022302462516,0.3,-0.1,0.41
-0.000000000000000111022302462516,0.3,0,0.39
-0.000000000000000111022302462516,0.3,0.1,0.4
-0.000000000000000111022302462516,0.3,0.2,0.51
-0.000000000000000111022302462516,0.3,0.3,0.62
-0.000000000000000111022302462516,0.3,0.4,0.61
-0.000000000000000111022302462516,0.3,0.5,0.89
-0.000000000000000111022302462516,0.4,-0.5,0.88
-0.000000000000000111022302462516,0.4,-0.4,0.84
-0.000000000000000111022302462516,0.4,-0.3,0.68
-0.000000000000000111022302462516,0.4,-0.2,0.5
-0.000000000000000111022302462516,0.4,-0.1,0.51
-0.000000000000000111022302462516,0.4,0,0.48
-0.000000000000000111022302462516,0.4,0.1,0.53
-0.000000000000000111022302462516,0.4,0.2,0.6
-0.000000000000000111022302462516,0.4,0.3,0.67
-0.000000000000000111022302462516,0.4,0.4,0.81
-0.000000000000000111022302462516,0.4,0.5,0.87
-0.000000000000000111022302462516,0.5,-0.5,0.98
-0.000000000000000111022302462516,0.5,-0.4,0.9
-0.000000000000000111022302462516,0.5,-0.3,0.81
-0.000000000000000111022302462516,0.5,-0.2,0.69
-0.000000000000000111022302462516,0.5,-0.1,0.72
-0.000000000000000111022302462516,0.5,0,0.72
-0.000000000000000111022302462516,0.5,0.1,0.71
-0.000000000000000111022302462516,0.5,0.2,0.74
-0.000000000000000111022302462516,0.5,0.3,0.83
-0.000000000000000111022302462516,0.5,0.4,0.85
-0.000000000000000111022302462516,0.5,0.5,0.94
0.3,-0.5,-0.5,0.95
0.3,-0.5,-0.4,0.87
0.3,-0.5,-0.3,0.82
0.3,-0.5,-0.2,0.79
0.3,-0.5,-0.1,0.71
0.3,-0.5,0,0.65
0.3,-0.5,0.1,0.77
0.3,-0.5,0.2,0.71
0.3,-0.5,0.3,0.85
0.3,-0.5,0.4,0.88
0.3,-0.5,0.5,0.96
0.3,-0.4,-0.5,0.88
0.3,-0.4,-0.4,0.82
0.3,-0.4,-0.3,0.66
0.3,-0.4,-0.2,0.64
0.3,-0.4,-0.1,0.48
0.3,-0.4,0,0.52
0.3,-0.4,0.1,0.63
0.3,-0.4,0.2,0.61
0.3,-0.4,0.3,0.67
0.3,-0.4,0.4,0.77
0.3,-0.4,0.5,0.88
0.3,-0.3,-0.5,0.79
0.3,-0.3,-0.4,0.75
0.3,-0.3,-0.3,0.55
0.3,-0.3,-0.2,0.47
0.3,-0.3,-0.1,0.46
0.3,-0.3,0,0.22
0.3,-0.3,0.1,0.39
0.3,-0.3,0.2,0.43
0.3,-0.3,0.3,0.58
0.3,-0.3,0.4,0.75
0.3,-0.3,0.5,0.8
0.3,-0.2,-0.5,0.81
0.3,-0.2,-0.4,0.59
0.3,-0.2,-0.3,0.46
0.3,-0.2,-0.2,0.25
0.3,-0.2,-0.1,0.29
0.3,-0.2,0,0.2
0.3,-0.2,0.1,0.22
0.3,-0.2,0.2,0.28
0.3,-0.2,0.3,0.41
0.3,-0.2,0.4,0.58
0.3,-0.2,0.5,0.73
0.3,-0.1,-0.5,0.68
0.3,-0.1,-0.4,0.48
0.3,-0.1,-0.3,0.37
0.3,-0.1,-0.2,0.24
0.3,-0.1,-0.1,0.21
0.3,-0.1,0,0.15
0.3,-0.1,0.1,0.26
0.3,-0.1,0.2,0.27
0.3,-0.1,0.3,0.41
0.3,-0.1,0.4,0.53
0.3,-0.1,0.5,0.67
0.3,0,-0.5,0.69
0.3,0,-0.4,0.55
0.3,0,-0.3,0.27
0.3,0,-0.2,0.18
0.3,0,-0.1,0.16
0.3,0,0,0.09
0.3,0,0.1,0.12
0.3,0,0.2,0.17
0.3,0,0.3,0.37
0.3,0,0.4,0.48
0.3,0,0.5,0.71
0.3,0.1,-0.5,0.67
0.3,0.1,-0.4,0.46
0.3,0.1,-0.3,0.4
0.3,0.1,-0.2,0.3
0.3,0.1,-0.1,0.17
0.3,0.1,0,0.14
0.3,0.1,0.1,0.12
0.3,0.1,0.2,0.29
0.3,0.1,0.3,0.4
0.3,0.1,0.4,0.52
0.3,0.1,0.5,0.73
0.3,0.2,-0.5,0.76
0.3,0.2,-0.4,0.62
0.3,0.2,-0.3,0.41
0.3,0.2,-0.2,0.2
0.3,0.2,-0.1,0.29
0.3,0.2,0,0.14
0.3,0.2,0.1,0.22
0.3,0.2,0.2,0.24
0.3,0.2,0.3,0.4
0.3,0.2,0.4,0.62
0.3,0.2,0.5,0.78
0.3,0.3,-0.5,0.91
0.3,0.3,-0.4,0.72
0.3,0.3,-0.3,0.58
0.3,0.3,-0.2,0.42
0.3,0.3,-0.1,0.3
0.3,0.3,0,0.37
0.3,0.3,0.1,0.33
0.3,0.3,0.2,0.37
0.3,0.3,0.3,0.51
0.3,0.3,0.4,0.72
0.3,0.3,0.5,0.85
0.3,0.4,-0.5,0.85
0.3,0.4,-0.4,0.76
0.3,0.4,-0.3,0.63
0.3,0.4,-0.2,0.63
0.3,0.4,-0.1,0.55
0.3,0.4,0,0.5
0.3,0.4,0.1,0.55
0.3,0.4,0.2,0.56
0.3,0.4,0.3,0.73
0.3,0.4,0.4,0.89
0.3,0.4,0.5,0.88
0.3,0.5,-0.5,0.92
0.3,0.5,-0.4,0.88
0.3,0.5,-0.3,0.83
0.3,0.5,-0.2,0.72
0.3,0.5,-0.1,0.72
0.3,0.5,0,0.72
0.3,0.5,0.1,0.71
0.3,0.5,0.2,0.77
0.3,0.5,0.3,0.77
0.3,0.5,0.4,0.86
0.3,0.5,0.5,0.97
0.6,-0.5,-0.5,0.95
0.6,-0.5,-0.4,0.91
0.6,-0.5,-0.3,0.78
0.6,-0.5,-0.2,0.75
0.6,-0.5,-0.1,0.55
0.6,-0.5,0,0.65
0.6,-0.5,0.1,0.78
0.6,-0.5,0.2,0.75
0.6,-0.5,0.3,0.86
0.6,-0.5,0.4,0.89
0.6,-0.5,0.5,0.95
0.6,-0.4,-0.5,0.93
0.6,-0.4,-0.4,0.79
0.6,-0.4,-0.3,0.73
0.6,-0.4,-0.2,0.6
0.6,-0.4,-0.1,0.51
0.6,-0.4,0,0.44
0.6,-0.4,0.1,0.59
0.6,-0.4,0.2,0.6
0.6,-0.4,0.3,0.68
0.6,-0.4,0.4,0.87
0.6,-0.4,0.5,0.91
0.6,-0.3,-0.5,0.92
0.6,-0.3,-0.4,0.73
0.6,-0.3,-0.3,0.52
0.6,-0.3,-0.2,0.44
0.6,-0.3,-0.1,0.4
0.6,-0.3,0,0.4
0.6,-0.3,0.1,0.39
0.6,-0.3,0.2,0.38
0.6,-0.3,0.3,0.63
0.6,-0.3,0.4,0.67
0.6,-0.3,0.5,0.91
0.6,-0.2,-0.5,0.83
0.6,-0.2,-0.4,0.59
0.6,-0.2,-0.3,0.35
0.6,-0.2,-0.2,0.27
0.6,-0.2,-0.1,0.26
0.6,-0.2,0,0.22
0.6,-0.2,0.1,0.18
0.6,-0.2,0.2,0.28
0.6,-0.2,0.3,0.37
0.6,-0.2,0.4,0.61
0.6,-0.2,0.5,0.71
0.6,-0.1,-0.5,0.69
0.6,-0.1,-0.4,0.45
0.6,-0.1,-0.3,0.45
0.6,-0.1,-0.2,0.27
0.6,-0.1,-0.1,0.13
0.6,-0.1,0,0.2
0.6,-0.1,0.1,0.2
0.6,-0.1,0.2,0.31
0.6,-0.1,0.3,0.41
0.6,-0.1,0.4,0.58
0.6,-0.1,0.5,0.63
0.6,0,-0.5,0.77
0.6,0,-0.4,0.51
0.6,0,-0.3,0.21
0.6,0,-0.2,0.23
0.6,0,-0.1,0.16
0.6,0,0,0.12
0.6,0,0.1,0.14
0.6,0,0.2,0.27
0.6,0,0.3,0.39
0.6,0,0.4,0.54
0.6,0,0.5,0.65
0.6,0.1,-0.5,0.68
0.6,0.1,-0.4,0.58
0.6,0.1,-0.3,0.34
0.6,0.1,-0.2,0.26
0.6,0.1,-0.1,0.21
0.6,0.1,0,0.15
0.6,0.1,0.1,0.18
0.6,0.1,0.2,0.25
0.6,0.1,0.3,0.3
0.6,0.1,0.4,0.54
0.6,0.1,0.5,0.73
0.6,0.2,-0.5,0.78
0.6,0.2,-0.4,0.6
0.6,0.2,-0.3,0.36
0.6,0.2,-0.2,0.38
0.6,0.2,-0.1,0.25
0.6,0.2,0,0.19
0.6,0.2,0.1,0.21
0.6,0.2,0.2,0.36
0.6,0.2,0.3,0.46
0.6,0.2,0.4,0.61
0.6,0.2,0.5,0.75
0.6,0.3,-0.5,0.9
0.6,0.3,-0.4,0.64
0.6,0.3,-0.3,0.57
0.6,0.3,-0.2,0.43
0.6,0.3,-0.1,0.37
0.6,0.3,0,0.35
0.6,0.3,0.1,0.33
0.6,0.3,0.2,0.46
0.6,0.3,0.3,0.52
0.6,0.3,0.4,0.78
0.6,0.3,0.5,0.79
0.6,0.4,-0.5,0.84
0.6,0.4,-0.4,0.81
0.6,0.4,-0.3,0.75
0.6,0.4,-0.2,0.64
0.6,0.4,-0.1,0.49
0.6,0.4,0,0.49
0.6,0.4,0.1,0.55
0.6,0.4,0.2,0.62
0.6,0.4,0.3,0.67
0.6,0.4,0.4,0.79
0.6,0.4,0.5,0.9
0.6,0.5,-0.5,0.94
0.6,0.5,-0.4,0.91
0.6,0.5,-0.3,0.82
0.6,0.5,-0.2,0.73
0.6,0.5,-0.1,0.64
0.6,0.5,0,0.66
0.6,0.5,0.1,0.73
0.6,0.5,0.2,0.78
0.6,0.5,0.3,0.78
0.6,0.5,0.4,0.88
0.6,0.5,0.5,0.94
0.9,-0.5,-0.5,0.94
0.9,-0.5,-0.4,0.93
0.9,-0.5,-0.3,0.85
0.9,-0.5,-0.2,0.74
0.9,-0.5,-0.1,0.73
0.9,-0.5,0,0.66
0.9,-0.5,0.1,0.77
0.9,-0.5,0.2,0.77
0.9,-0.5,0.3,0.8
0.9,-0.5,0.4,0.82
0.9,-0.5,0.5,0.93
0.9,-0.4,-0.5,0.92
0.9,-0.4,-0.4,0.81
0.9,-0.4,-0.3,0.67
0.9,-0.4,-0.2,0.61
0.9,-0.4,-0.1,0.54
0.9,-0.4,0,0.55
0.9,-0.4,0.1,0.51
0.9,-0.4,0.2,0.66
0.9,-0.4,0.3,0.64
0.9,-0.4,0.4,0.73
0.9,-0.4,0.5,0.91
0.9,-0.3,-0.5,0.84
0.9,-0.3,-0.4,0.78
0.9,-0.3,-0.3,0.49
0.9,-0.3,-0.2,0.47
0.9,-0.3,-0.1,0.4
0.9,-0.3,0,0.32
0.9,-0.3,0.1,0.38
0.9,-0.3,0.2,0.48
0.9,-0.3,0.3,0.55
0.9,-0.3,0.4,0.68
0.9,-0.3,0.5,0.81
0.9,-0.2,-0.5,0.79
0.9,-0.2,-0.4,0.53
0.9,-0.2,-0.3,0.33
0.9,-0.2,-0.2,0.26
0.9,-0.2,-0.1,0.19
0.9,-0.2,0,0.1
0.9,-0.2,0.1,0.3
0.9,-0.2,0.2,0.3
0.9,-0.2,0.3,0.41
0.9,-0.2,0.4,0.62
0.9,-0.2,0.5,0.74
0.9,-0.1,-0.5,0.69
0.9,-0.1,-0.4,0.53
0.9,-0.1,-0.3,0.33
0.9,-0.1,-0.2,0.21
0.9,-0.1,-0.1,0.2
0.9,-0.1,0,0.21
0.9,-0.1,0.1,0.15
0.9,-0.1,0.2,0.24
0.9,-0.1,0.3,0.41
0.9,-0.1,0.4,0.53
0.9,-0.1,0.5,0.77
0.9,0,-0.5,0.69
0.9,0,-0.4,0.51
0.9,0,-0.3,0.37
0.9,0,-0.2,0.31
0.9,0,-0.1,0.12
0.9,0,0,0.14
0.9,0,0.1,0.16
0.9,0,0.2,0.16
0.9,0,0.3,0.25
0.9,0,0.4,0.42
0.9,0,0.5,0.65
0.9,0.1,-0.5,0.69
0.9,0.1,-0.4,0.6
0.9,0.1,-0.3,0.25
0.9,0.1,-0.2,0.19
0.9,0.1,-0.1,0.2
0.9,0.1,0,0.15
0.9,0.1,0.1,0.15
0.9,0.1,0.2,0.28
0.9,0.1,0.3,0.36
0.9,0.1,0.4,0.51
0.9,0.1,0.5,0.74
0.9,0.2,-0.5,0.74
0.9,0.2,-0.4,0.52
0.9,0.2,-0.3,0.47
0.9,0.2,-0.2,0.32
0.9,0.2,-0.1,0.23
0.9,0.2,0,0.22
0.9,0.2,0.1,0.22
0.9,0.2,0.2,0.34
0.9,0.2,0.3,0.43
0.9,0.2,0.4,0.61
0.9,0.2,0.5,0.77
0.9,0.3,-0.5,0.79
0.9,0.3,-0.4,0.58
0.9,0.3,-0.3,0.56
0.9,0.3,-0.2,0.34
0.9,0.3,-0.1,0.45
0.9,0.3,0,0.35
0.9,0.3,0.1,0.33
0.9,0.3,0.2,0.47
0.9,0.3,0.3,0.61
0.9,0.3,0.4,0.66
0.9,0.3,0.5,0.84
0.9,0.4,-0.5,0.88
0.9,0.4,-0.4,0.85
0.9,0.4,-0.3,0.74
0.9,0.4,-0.2,0.58
0.9,0.4,-0.1,0.56
0.9,0.4,0,0.52
0.9,0.4,0.1,0.59
0.9,0.4,0.2,0.6
0.9,0.4,0.3,0.66
0.9,0.4,0.4,0.81
0.9,0.4,0.5,0.91
0.9,0.5,-0.5,0.93
0.9,0.5,-0.4,0.92
0.9,0.5,-0.3,0.79
0.9,0.5,-0.2,0.75
0.9,0.5,-0.1,0.75
0.9,0.5,0,0.71
0.9,0.5,0.1,0.77
0.9,0.5,0.2,0.8
0.9,0.5,0.3,0.78
0.9,0.5,0.4,0.89
0.9,0.5,0.5,0.95
